Audio,Group,Eat,Look,Speaker,Vigilance,Relaxed,Calls,Flee,TIF,TOF
Control,CV2,97,3,2,15,0,2,0,120,0
Control,CV2,55,2,0,59,0,0,0,120,0
Control,CV4,49,3,3,26,0,3,0,81,39
Control,CV4,37,3,0,22,0,0,0,62,58
Control,CV7,33,0,0,16,0,0,0,51,69
Control,CV7,43,0,0,51,1,6,0,101,119
Control,CV7,47,0,0,12,0,0,0,60,60
Control,CV7,17,11,0,8,0,0,0,47,73
Control,CV7,18,0,2,14,0,0,0,36,84
Control,TL14,7,0,0,0,0,0,0,16,104
Control,TL14,6,0,0,9,0,0,0,16,104
Control,TL7,16,0,0,30,0,0,0,48,72
Human Speech,CV2,23,0,16,80,0,0,0,120,0
Human Speech,CV2,14,2,2,8,0,0,1,29,91
Human Speech,CV4,15,1,0,17,0,0,0,120,0
Human Speech,CV4,0,0,0,1,0,0,1,4,116
Human Speech,CV4,16,0,9,23,0,0,0,51,69
Human Speech,CV7,8,0,0,15,0,0,0,27,93
Human Speech,CV7,22,0,0,13,0,0,0,37,83
Human Speech,CV7,42,1,0,73,0,4,0,120,0
Human Speech,CV7,9,0,0,16,0,0,0,29,91
Human Speech,CV7,39,0,0,28,0,2,0,76,44
Human Speech,TL14,6,1,0,0,0,0,0,13,107
Human Speech,TL14,6,0,0,0,0,1,0,9,111
Human Speech,TL7,2,0,0,8,0,0,1,12,108
Human Speech,TL7,4,0,0,5,0,0,1,9,111
Motor Boat,CV2,30,11,7,69,0,2,0,120,0
Motor Boat,CV2,41,10,3,66,0,0,0,120,0
Motor Boat,CV4,6,0,0,15,0,0,0,22,98
Motor Boat,CV7,0,0,0,10,0,1,0,12,108
Motor Boat,CV7,48,0,0,12,0,1,0,67,53
Motor Boat,CV7,42,0,0,46,17,1,0,120,0
Motor Boat,CV7,17,0,0,24,0,0,0,42,78
Motor Boat,TL14,4,1,0,3,0,1,1,8,112
Motor Boat,TL14,4,0,0,3,0,0,0,10,110
Motor Boat,TL7,12,0,4,14,0,0,0,31,89
None,CV2,25,1,0,22,17,0,0,72,48
