Audio Type,Splice Audio,Group,Eat,Look,Speaker,Vigilance,Relaxed,Calls,Flee,TIF,TOF
Human Speech,Control,CV2,65,3,0,9,24,1,0,107,13
Human Speech,Control,CV2,25,0,0,40,3,5,1,78,42
Human Speech,Control,CV4,0,0,0,14,0,0,1,17,103
Human Speech,Control,CV4,5,0,0,3,0,0,1,7,113
Human Speech,Control,CV4,7,0,0,9,3,0,0,19,101
Human Speech,Control,CV7,44,0,0,29,0,0,0,75,45
Human Speech,Control,TL14,17,0,1,11,0,3,0,39,81
Human Speech,Control,TL14,30,0,0,2,0,0,0,34,86
Human Speech,Control,TL14,25,0,1,1,0,2,0,30,90
Human Speech,Control,TL14,34,8,4,8,0,0,0,57,63
Human Speech,Control,TL14,16,1,5,3,0,0,0,27,93
Human Speech,Predator,CV2,47,0,0,71,0,3,0,120,0
Human Speech,Predator,CV2,25,0,0,23,0,1,1,54,66
Human Speech,Predator,CV2,0,7,0,109,11,9,0,120,0
Human Speech,Predator,CV2,59,0,0,60,0,3,0,120,0
Human Speech,Predator,CV2,0,0,0,36,0,1,0,40,80
Human Speech,Predator,CV2,4,2,0,10,0,1,0,17,103
Human Speech,Predator,CV2,0,2,0,10,0,1,0,15,105
Human Speech,Predator,CV2,0,2,0,33,0,0,1,37,83
Human Speech,Predator,CV2,18,1,0,70,0,3,0,101,19
Human Speech,Predator,CV4,9,0,4,15,0,0,1,31,89
Human Speech,Predator,CV4,36,0,0,31,0,0,0,70,50
Human Speech,Predator,CV4,0,0,0,10,0,0,0,10,110
Human Speech,Predator,CV4,4,0,0,4,0,0,1,9,111
Human Speech,Predator,CV7,0,2,3,54,0,4,0,65,55
Human Speech,Predator,CV7,0,0,0,11,0,0,0,11,109
Human Speech,Predator,CV7,17,2,0,32,0,0,0,55,65
Human Speech,Predator,CV7,32,0,0,86,0,0,0,120,0
Human Speech,Predator,TL14,42,0,0,8,0,0,0,55,65
Human Speech,Predator,TL14,18,0,0,7,0,0,1,26,94
Human Speech,Predator,TL14,30,0,0,9,0,0,0,42,78
Human Speech,Predator,TL14,10,0,1,8,0,0,0,22,98
Human Speech,Predator,TL14,41,0,0,11,0,0,0,110,10
Human Speech,Predator,TL14,13,0,1,3,0,0,0,18,102
Human Speech,Predator,TL14,45,1,4,18,0,0,0,69,51
Human Speech,Predator,TL7,15,4,5,10,0,0,0,34,86
Human Speech,Predator,TL7,15,1,0,4,9,0,0,23,97
Human Speech,Predator,TL7,15,0,0,4,0,0,0,41,79
Human Speech,Predator,TL7,12,0,0,6,0,0,1,17,103
Human Speech,Predator,TL7,13,0,0,3,0,0,0,20,100
Human Speech,Predator,TL7,5,0,0,15,0,1,1,22,98
Motor Boat,Control,CV2,15,1,0,10,2,0,0,33,87
Motor Boat,Control,CV2,24,1,0,39,0,2,0,71,49
Motor Boat,Control,CV2,47,0,0,22,6,1,0,69,51
Motor Boat,Control,CV4,0,0,0,3,0,0,0,4,116
Motor Boat,Control,CV7,29,0,0,29,0,0,0,60,60
Motor Boat,Control,CV7,18,0,0,30,0,0,0,53,67
Motor Boat,Control,CV7,11,0,0,10,0,0,0,21,99
Motor Boat,Control,TL14,22,0,0,3,8,0,0,38,82
Motor Boat,Control,TL14,24,4,5,15,0,1,0,48,72
Motor Boat,Control,TL14,28,0,0,8,0,0,0,41,79
Motor Boat,Control,TL7,22,0,0,20,0,0,0,43,77
Motor Boat,Control,TL7,8,0,0,11,0,0,0,21,99
Motor Boat,Control,TL7,14,4,0,9,0,0,0,29,91
Motor Boat,Control,TL7,12,0,0,4,0,0,0,16,104
Motor Boat,Predator,CV2,57,0,0,61,0,0,0,120,0
Motor Boat,Predator,CV2,0,0,0,60,0,6,0,65,55
Motor Boat,Predator,CV2,0,0,0,5,0,0,0,11,109
Motor Boat,Predator,CV4,33,1,0,28,0,0,1,59,61
Motor Boat,Predator,CV4,34,0,0,24,0,0,0,60,60
Motor Boat,Predator,CV4,15,0,0,2,0,0,0,23,97
Motor Boat,Predator,CV4,21,0,0,58,0,0,0,80,40
Motor Boat,Predator,CV7,42,0,0,54,3,0,0,106,14
Motor Boat,Predator,CV7,22,0,0,97,0,1,0,120,0
Motor Boat,Predator,TL14,54,5,7,24,0,0,0,99,21
Motor Boat,Predator,TL14,17,0,0,8,0,0,0,27,93
Motor Boat,Predator,TL14,16,0,0,51,0,1,0,68,52
Motor Boat,Predator,TL14,19,0,0,6,0,0,1,27,93
Motor Boat,Predator,TL14,32,4,1,1,0,0,0,41,79
Motor Boat,Predator,TL14,12,0,1,2,0,1,0,19,101
Motor Boat,Predator,TL7,64,0,0,43,0,0,0,110,10
Motor Boat,Predator,TL7,42,0,0,30,0,0,0,75,45
Motor Boat,Predator,TL7,13,0,0,9,0,1,0,23,97
Motor Boat,Predator,TL7,13,0,0,4,0,0,1,22,98
