Audio,Group,Calls,,,,,
Predator,CV2,4,,,,,
Predator,CV2,0,,,,,
Predator,CV2,12,,,,,
Predator,CV2,4,,,,,
Predator,CV4,0,,,,,
Predator,CV4,0,,,,,
Predator,CV4,0,,,,,
Predator,CV7,5,,,,,
Predator,CV7,3,,,,,
Predator,CV7,1,,,,,
Predator,CV7,2,,,,,
Predator,CV7,0,,,,,
Predator,CV7,1,,,,,
Predator,TL14,5,,,,,
Predator,TL14,5,,,,,
Predator,TL14,5,,,,,
Predator,TL7,2,,,,,
Predator,TL7,9,,,,,
Motor Boat Predator,CV2,0,,,,,
Motor Boat Predator,CV2,6,,,,,
Human Speech Predator,CV2,3,,,,,
Human Speech Predator,CV2,1,,,,,
Human Speech Predator,CV2,9,,,,,
Human Speech Predator,CV2,3,,,,,
Human Speech Predator,CV2,1,,,,,
Human Speech Predator,CV2,1,,,,,
Human Speech Predator,CV2,1,,,,,
Human Speech Predator,CV2,0,,,,,
Human Speech Predator,CV2,3,,,,,
Motor Boat Predator,CV4,0,,,,,
Motor Boat Predator,CV4,0,,,,,
Motor Boat Predator,CV4,0,,,,,
Motor Boat Predator,CV4,0,,,,,
Human Speech Predator,CV4,0,,,,,
Human Speech Predator,CV4,0,,,,,
Human Speech Predator,CV4,0,,,,,
Human Speech Predator,CV4,0,,,,,
Human Speech Predator,CV7,4,,,,,
Human Speech Predator,CV7,0,,,,,
Motor Boat Predator,CV7,0,,,,,
Motor Boat Predator,CV7,1,,,,,
Human Speech Predator,CV7,0,,,,,
Human Speech Predator,CV7,0,,,,,
Motor Boat Predator,CV7,0,,,,,
Motor Boat Predator,TL14,0,,,,,
Motor Boat Predator,TL14,0,,,,,
Motor Boat Predator,TL14,1,,,,,
Motor Boat Predator,TL14,0,,,,,
Motor Boat Predator,TL14,0,,,,,
Motor Boat Predator,TL14,1,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Human Speech Predator,TL14,0,,,,,
Motor Boat Predator,TL7,0,,,,,
Motor Boat Predator,TL7,0,,,,,
Motor Boat Predator,TL7,1,,,,,
Motor Boat Predator,TL7,0,,,,,
Human Speech Predator,TL7,0,,,,,
Human Speech Predator,TL7,0,,,,,
Human Speech Predator,TL7,0,,,,,
Human Speech Predator,TL7,0,,,,,
Human Speech Predator,TL7,0,,,,,
Human Speech Predator,TL7,1,,,,,
